a,b,c,class
9,8.22,9.49,acute triangle
3.05,3.51,8.36,obtuse triangle
4.77,5.06,6.96,right triangle
6,9.02,6.73,right triangle
4.45,3.56,9.2,obtuse triangle
6.18,3.68,7.19,right triangle
7.22,9.43,9.81,acute triangle
3.37,8.75,9.38,right triangle
9.69,4.23,4.17,obtuse triangle
7.82,9.78,9.01,acute triangle
9.8,9.83,9.99,acute triangle
9.52,6.77,3.26,obtuse triangle
4.81,5.25,7.12,right triangle
8.64,3.51,7.89,right triangle
4.5,9.28,4.54,obtuse triangle
6,6.87,9.12,right triangle
8.69,5.24,6.93,right triangle
8.38,9.71,8.74,acute triangle
7.36,6.86,7.91,acute triangle
3.75,8.95,4.88,obtuse triangle
8.02,7.73,7.52,acute triangle
7.8,9.91,9.13,acute triangle
8.69,9.06,8.66,acute triangle
9.22,8.96,7.16,acute triangle
8.3,9.05,3.61,right triangle
7.32,6.93,7.62,acute triangle
9.21,7.33,9.1,acute triangle
8.14,4.23,4.35,obtuse triangle
6.67,6.97,9.65,right triangle
6.63,8.51,8.33,acute triangle
3.79,8.82,4.09,obtuse triangle
5.64,6.69,3.59,right triangle
3.87,9.85,4.08,obtuse triangle
6.44,4.81,4.28,right triangle
3.07,8.54,9.08,right triangle
8.84,6.63,5.84,right triangle
9.7,8.21,9.48,acute triangle
9.82,3.6,4.88,obtuse triangle
7.76,9.29,5.11,right triangle
5.18,9.94,5.49,obtuse triangle
9.75,7.2,6.58,right triangle
5.88,8.46,6.09,right triangle
9.28,8.73,9.28,acute triangle
9.1,9.02,9.67,acute triangle
7.8,7.36,7.11,acute triangle
3.32,3.2,8.41,obtuse triangle
9.21,4.09,8.25,right triangle
9.28,9.25,7.4,acute triangle
3.17,8.16,7.52,right triangle
4.86,4.63,6.72,right triangle
8.62,7.48,8.01,acute triangle
9.48,8.92,9.25,acute triangle
8.43,8.77,9.67,acute triangle
8.29,9.26,8.96,acute triangle
3.32,4.55,3.12,right triangle
5.28,9.94,3.25,obtuse triangle
3.06,7.47,3.07,obtuse triangle
9.54,8.93,8.94,acute triangle
9.55,6.06,4.46,obtuse triangle
7.83,3.15,3.18,obtuse triangle
9.51,10,8.75,acute triangle
3.36,4.34,9.09,obtuse triangle
8.77,5.46,6.87,right triangle
4.51,8.65,9.75,right triangle
6.98,7.35,7.87,acute triangle
5.16,3.82,9.71,obtuse triangle
8.17,7.52,3.18,right triangle
8.65,7.72,8.35,acute triangle
9.86,4.91,3.23,obtuse triangle
4.51,3.07,5.45,right triangle
7.72,9.58,5.68,right triangle
4.08,7.4,6.17,right triangle
3.39,8.05,3.02,obtuse triangle
4.03,5.91,9.17,obtuse triangle
4.35,4.62,9.22,obtuse triangle
9.91,8.72,8.58,acute triangle
6.41,4.99,4.03,right triangle
7.83,7.58,7.3,acute triangle
9.08,9.39,9.07,acute triangle
5.14,9.61,4.26,obtuse triangle
9.05,5.55,7.15,right triangle
5.95,6.97,7.16,acute triangle
6.95,3.84,7.94,right triangle
3.78,7.89,3.78,obtuse triangle
9.4,8.25,9.2,acute triangle
3.59,5.23,9.54,obtuse triangle
8.24,6.31,8.1,acute triangle
8.23,8.45,7.83,acute triangle
7.43,9.02,5.12,right triangle
3.22,5.24,4.14,right triangle
9.49,8.11,8.92,acute triangle
3.84,7.69,3.74,obtuse triangle
9.25,6.13,3.58,obtuse triangle
5.74,5.82,5.77,acute triangle
8.55,4.59,3.06,obtuse triangle
8.83,4.25,9.8,right triangle
4.58,10,3.54,obtuse triangle
3.57,9.88,5.59,obtuse triangle
8.15,7.59,7.88,acute triangle
9.8,7.23,9.56,acute triangle
5.5,8.27,6.18,right triangle
5.84,6.72,6.65,acute triangle
3.46,3.54,7.3,obtuse triangle
3.26,9.31,4.71,obtuse triangle
5,6.61,4.33,right triangle
6.45,6.88,7.3,acute triangle
7.47,6.72,7.66,acute triangle
7.48,8.22,7.93,acute triangle
3.29,7.96,4.84,obtuse triangle
9.24,7.4,5.54,right triangle
8.96,9.87,8.85,acute triangle
4.62,3.74,9.85,obtuse triangle
7.83,6.84,3.8,right triangle
8.54,8.61,8.32,acute triangle
6.16,8.06,5.19,right triangle
3.86,9.83,4.78,obtuse triangle
9.6,3.36,4.21,obtuse triangle
9.85,7.61,6.25,right triangle
6.93,6.63,6.59,acute triangle
4.2,3.47,7.71,obtuse triangle
9.44,4.55,8.27,right triangle
5.94,4.74,7.6,right triangle
4.79,9.64,3.09,obtuse triangle
6.56,3.01,7.22,right triangle
9.78,7.73,5.99,right triangle
6.57,3.73,5.41,right triangle
9.17,9.94,9.36,acute triangle
5.17,4.41,9.59,obtuse triangle
9.09,8.96,6.83,acute triangle
7.09,8.56,8.53,acute triangle
9.75,4.13,3.55,obtuse triangle
4.79,8.32,6.81,right triangle
9.16,9.46,9.68,acute triangle
6.18,7.01,3.3,right triangle
3.77,9.91,3.15,obtuse triangle
3.05,6.49,9.21,obtuse triangle
3.75,9.69,6.49,obtuse triangle
3.88,7.67,6.61,right triangle
9.1,7.83,4.63,right triangle
9.79,3.2,4.6,obtuse triangle
3.87,4.3,5.78,right triangle
6.71,7.4,7.34,acute triangle
8.83,7.57,8.27,acute triangle
8.56,7.98,3.11,right triangle
3.6,4.76,9.03,obtuse triangle
9.65,3.98,4.25,obtuse triangle
4.38,7.25,5.78,right triangle
6.95,8.93,8.61,acute triangle
4.32,3.88,5.81,right triangle
9.78,4.92,3.43,obtuse triangle
7.65,6.14,9.81,right triangle
3.61,5.48,6.56,right triangle
8.57,8.42,7.31,acute triangle
3.32,5.53,4.43,right triangle
3.81,4.42,8.31,obtuse triangle
9.32,5.72,4.11,obtuse triangle
9.14,9.34,9.16,acute triangle
4.43,9.89,3.36,obtuse triangle
5.45,3.42,4.25,right triangle
9.56,8.81,3.7,right triangle
5.45,7.97,5.82,right triangle
9.24,8.93,8.18,acute triangle
9.82,4.1,3.3,obtuse triangle
6.03,6.35,6.61,acute triangle
7.35,8.6,4.47,right triangle
6.22,6.61,9.08,right triangle
7.35,6.93,6.98,acute triangle
3.74,5.15,3.53,right triangle
6.97,6.45,6.33,acute triangle
6.6,9.13,9.07,acute triangle
8.42,3.74,3.2,obtuse triangle
3.02,4.45,3.26,right triangle
9.82,7.83,9.31,acute triangle
9.33,3.09,6.28,obtuse triangle
4.22,4.46,8.83,obtuse triangle
9.64,9.04,3.35,right triangle
3.17,8.34,3.69,obtuse triangle
9,7.23,8.76,acute triangle
8.79,9.96,9.5,acute triangle
9.79,3.23,3.91,obtuse triangle
9.92,4.59,5.54,obtuse triangle
4.56,9.03,4.6,obtuse triangle
4.83,5.27,9.6,obtuse triangle
6.63,5.24,4.05,right triangle
6.82,8.68,9.01,acute triangle
3.89,9.31,4.88,obtuse triangle
7.96,6.13,5.07,right triangle
8.82,9.97,8.89,acute triangle
7.73,7.64,7.15,acute triangle
3.52,9.34,4.56,obtuse triangle
5.35,7.07,8.87,right triangle
4.96,4.72,9.44,obtuse triangle
3.81,9.01,4.16,obtuse triangle
4.15,8.42,7.32,right triangle
4.5,4.82,9.86,obtuse triangle
8.27,5.16,9.75,right triangle
6.86,4.62,5.07,right triangle
8.54,7.91,8.63,acute triangle
7.7,8.68,8.01,acute triangle
5.93,5.57,5.93,acute triangle
7.07,8.43,8.42,acute triangle
8.68,3.3,4.24,obtuse triangle
9.69,7.64,9.51,acute triangle
9.05,9.13,8.46,acute triangle
6.51,3.26,5.63,right triangle
9.96,8.28,9.96,acute triangle
3.54,6.37,5.3,right triangle
8.1,7.05,4,right triangle
3.92,9.75,4.47,obtuse triangle
9.71,9.86,8.14,acute triangle
8.94,7.71,7.91,acute triangle
8.8,3.46,3.44,obtuse triangle
9.45,5.8,4.1,obtuse triangle
3.31,7.29,6.49,right triangle
6.4,5.96,6.55,acute triangle
7.62,7.1,7,acute triangle
3.66,5.35,3.91,right triangle
4.28,9.97,5.22,obtuse triangle
3.67,6.02,9.77,obtuse triangle
3.13,6.18,6.93,right triangle
8.81,9.04,8.69,acute triangle
6.28,9.31,6.87,right triangle
6.2,6.46,6.64,acute triangle
8.01,6.48,8.29,acute triangle
3.1,4.67,3.5,right triangle
9.98,5.59,4.91,obtuse triangle
9.23,5.2,4.69,obtuse triangle
7.89,4.53,3.39,obtuse triangle
3.74,8.42,3.37,obtuse triangle
5.59,6.59,3.5,right triangle
5.95,4.09,9.77,obtuse triangle
8.05,9.88,9.97,acute triangle
4.72,8.57,3.24,obtuse triangle
9.52,3.72,5.12,obtuse triangle
3.55,3.62,8.33,obtuse triangle
5.43,9.05,3.83,obtuse triangle
9.34,8.95,8.35,acute triangle
3.92,4.4,9.45,obtuse triangle
7.19,9.15,5.66,right triangle
8.21,7.27,7.72,acute triangle
4.3,7.77,3.6,obtuse triangle
3.8,5.93,7.04,right triangle
5.82,6.98,3.86,right triangle
5.99,3.01,9.22,obtuse triangle
3.84,5.99,7.11,right triangle
7.82,8.37,8.3,acute triangle
9.91,5.86,3.3,obtuse triangle
5.45,3.95,3.75,right triangle
5.16,7.41,5.32,right triangle
7.88,8.66,8.11,acute triangle
9.36,8.84,9.45,acute triangle
10,9.16,8.9,acute triangle
6.34,5.08,8.12,right triangle
3.71,5.92,4.61,right triangle
3.25,8.85,3.55,obtuse triangle
3.21,3.72,7.99,obtuse triangle
7.31,8.43,8.86,acute triangle
6.27,6.22,5.93,acute triangle
4.82,6.42,4.25,right triangle
9.57,9.7,9.6,acute triangle
4.21,8.91,3.67,obtuse triangle
6.23,9.06,6.58,right triangle
8.28,8.72,6.82,acute triangle
9.72,4.74,3.48,obtuse triangle
5.96,3.87,4.53,right triangle
9.86,9.42,9.26,acute triangle
7.7,7.39,7.74,acute triangle
4.44,8.91,7.73,right triangle
7.82,6.64,4.12,right triangle
8.97,6.63,6.05,right triangle
4.78,3.61,9.59,obtuse triangle
8.41,9.53,4.48,right triangle
7.23,7.23,6.66,acute triangle
3.29,5.64,9.08,obtuse triangle
4.14,5.37,9.2,obtuse triangle
5.27,4.32,3.02,right triangle
4.67,3.41,3.18,right triangle
6.52,6.51,6.44,acute triangle
8.29,6.9,4.59,right triangle
8.15,9.19,7.67,acute triangle
8.48,8.29,8.37,acute triangle
9.49,3.48,4.99,obtuse triangle
9.46,3.12,4.75,obtuse triangle
7.89,6.47,8.05,acute triangle
8.28,8.03,7.04,acute triangle
4.77,6.48,4.39,right triangle
6.79,9.02,8.68,acute triangle
4.16,3.41,8.98,obtuse triangle
8.54,8.34,7.69,acute triangle
4.37,8.13,6.85,right triangle
8.73,7.61,8.09,acute triangle
3.42,7.41,3.2,obtuse triangle
4.8,4.97,9.34,obtuse triangle
5.78,3.38,8.8,obtuse triangle
6.82,3.52,9.87,obtuse triangle
4.01,9.65,6,obtuse triangle
8.55,7.16,7.96,acute triangle
4.44,9.41,3.25,obtuse triangle
4.78,4,6.24,right triangle
7.83,4.21,6.6,right triangle
5.72,3.28,4.68,right triangle
9.19,8.55,9.83,acute triangle
4.85,3.21,5.82,right triangle
4.3,4.2,8.97,obtuse triangle
4.11,9.69,5.19,obtuse triangle
5.78,4.2,7.15,right triangle
3.59,5.42,9.88,obtuse triangle
6.42,6.73,6.42,acute triangle
6.18,9.38,7.06,right triangle
5.15,8.08,6.23,right triangle
5.82,4.45,7.32,right triangle
9.01,9.89,9.62,acute triangle
6.61,6.13,9.02,right triangle
6.42,4.2,4.86,right triangle
3.5,4.66,8.98,obtuse triangle
4.54,3.2,8.61,obtuse triangle
8.22,9.67,9.49,acute triangle
3.73,3.71,5.27,right triangle
9.76,8.51,8.78,acute triangle
5.09,8.42,9.84,right triangle
8.48,3.76,3.33,obtuse triangle
5.49,9.64,4.91,obtuse triangle
8.39,3.51,9.09,right triangle
9.51,5.45,3.28,obtuse triangle
3.95,3.26,9.78,obtuse triangle
4.56,7.34,8.64,right triangle
6.75,8.88,8.86,acute triangle
4.07,5.46,3.64,right triangle
5.62,3.15,9.37,obtuse triangle
6.75,5.53,8.73,right triangle
8.09,7.94,6.43,acute triangle
7.96,3.92,8.87,right triangle
7.89,8.48,7.3,acute triangle
7.22,9.42,9.06,acute triangle
3.34,8.52,3.25,obtuse triangle
7.24,5.78,4.37,right triangle
8.04,8.93,8.47,acute triangle
6.03,6.98,9.22,right triangle
9.31,6.82,9.14,acute triangle
4.81,9.76,5.64,obtuse triangle
4.42,9.77,5.6,obtuse triangle
3.62,6.22,5.06,right triangle
7.01,9.33,9.25,acute triangle
3.04,6.35,5.58,right triangle
3.15,9.68,6.1,obtuse triangle
7.41,8.41,8.52,acute triangle
8.14,8.62,7.47,acute triangle
8.12,3.9,9.01,right triangle
4.76,3.44,9.76,obtuse triangle
6.45,6.14,6.62,acute triangle
9.72,4.3,5.67,obtuse triangle
8.56,9.47,9.41,acute triangle
8.72,5.64,3.18,obtuse triangle
9.52,4.09,4.43,obtuse triangle
5.04,6.13,7.94,right triangle
9.27,4.71,5.27,obtuse triangle
8.04,8.98,9.24,acute triangle
8.27,9.34,4.33,right triangle
8.24,3.44,5.01,obtuse triangle
4.62,3.58,9.02,obtuse triangle
3.32,3.3,7.28,obtuse triangle
5.73,8.79,3.57,obtuse triangle
7.29,8.15,8.05,acute triangle
9.5,5.33,4.74,obtuse triangle
4.34,9.62,3.36,obtuse triangle
9.64,3.69,5.69,obtuse triangle
7.84,8.3,7.24,acute triangle
8.35,8.65,7.43,acute triangle
6.42,7.5,7.28,acute triangle
4.6,5.81,9.65,obtuse triangle
4.72,4.73,8.92,obtuse triangle
9.66,9.44,8.87,acute triangle
5.02,3.66,9.27,obtuse triangle
8.97,6.02,3.02,obtuse triangle
9.6,4.75,8.34,right triangle
6.39,3.6,5.28,right triangle
9.69,8.76,8.87,acute triangle
7.4,6.79,6.67,acute triangle
5.04,9.83,5.53,obtuse triangle
6.58,7.06,6.8,acute triangle
3.47,4.72,8.04,obtuse triangle
7.88,6.54,7.51,acute triangle
7.4,7.3,6.6,acute triangle
3.58,9.91,6.2,obtuse triangle
6.52,7.81,8.11,acute triangle
3.41,8.6,7.9,right triangle
7.98,7.76,8.58,acute triangle
9.97,8.84,8.57,acute triangle
5.55,8.11,5.91,right triangle
8.74,10,9.82,acute triangle
7.69,4.43,3.03,obtuse triangle
3.98,8.27,3.32,obtuse triangle
9.15,8.96,6.96,acute triangle
8.76,3.29,4.44,obtuse triangle
8.36,4.32,7.16,right triangle
7.24,7.34,7.67,acute triangle
9.55,7.37,6.07,right triangle
8.41,9.22,8.88,acute triangle
8.99,5.52,3.94,obtuse triangle
7.67,7.01,6.81,acute triangle
5.05,3.22,9.78,obtuse triangle
9.74,3.51,9.09,right triangle
4.66,3.09,3.49,right triangle
9.3,8.79,8.76,acute triangle
6.6,6.61,5.74,acute triangle
6.59,6.03,6.12,acute triangle
3.28,9.75,5.42,obtuse triangle
8.54,3.91,5.16,obtuse triangle
4.14,3.11,8.89,obtuse triangle
7.01,3.2,7.7,right triangle
3.38,9.32,4.6,obtuse triangle
4.68,3.56,8.18,obtuse triangle
9.92,6.7,3.54,obtuse triangle
6.67,7.9,7.99,acute triangle
7.44,7.46,6.24,acute triangle
8.95,8.09,8.54,acute triangle
8.67,8.93,7.52,acute triangle
4.83,3.44,7.95,obtuse triangle
8.85,7.36,9.17,acute triangle
5.71,5.54,7.96,right triangle
9.15,8.39,9.51,acute triangle
8.31,9.92,8.81,acute triangle
9.36,6.74,6.5,right triangle
9.31,8.44,3.92,right triangle
6.43,7.95,7.89,acute triangle
3.37,9.61,5.83,obtuse triangle
9.05,9.62,7.38,acute triangle
5.55,6.67,8.68,right triangle
7.52,3.28,6.77,right triangle
6.57,6.17,6.09,acute triangle
9.83,9.26,9.96,acute triangle
9.31,3.1,5.3,obtuse triangle
6.08,9.57,3.85,obtuse triangle
3.11,9.33,5.22,obtuse triangle
8.53,7.8,3.45,right triangle
8.24,8.66,7,acute triangle
3.01,8.87,6.03,obtuse triangle
5.01,4.39,9.4,obtuse triangle
6.09,4.45,4.16,right triangle
3.99,7.47,8.47,right triangle
9.07,6.37,6.46,right triangle
5.71,6.41,6.45,acute triangle
4.01,4.99,9.28,obtuse triangle
7.32,7.87,8.38,acute triangle
5.58,9.8,8.06,right triangle
7.25,4.97,5.27,right triangle
8.96,8.75,7.07,acute triangle
4.39,3.14,9.92,obtuse triangle
8.68,5.25,3.95,obtuse triangle
9.79,8.71,7.96,acute triangle
9.2,5.15,7.62,right triangle
3.85,7.65,3.19,obtuse triangle
7.07,7.28,6.68,acute triangle
3.39,9.14,4.08,obtuse triangle
9.64,9.16,3,right triangle
3.18,5.29,4.23,right triangle
5.49,5.89,8.05,right triangle
9.87,9.68,8.98,acute triangle
3.78,4.55,8.12,obtuse triangle
5.9,3.26,4.91,right triangle
5.52,9.45,4.01,obtuse triangle
4.57,3.11,9.97,obtuse triangle
4.47,7.26,8.52,right triangle
9.28,9.46,7.49,acute triangle
5.38,8.69,6.82,right triangle
3.94,5.71,4.14,right triangle
8.66,5.28,6.87,right triangle
9.86,9.88,9.41,acute triangle
6.47,4.21,9.77,obtuse triangle
3.59,4.37,7.72,obtuse triangle
8.84,9.15,8.81,acute triangle
9.58,9.09,3.02,right triangle
3.84,9.17,8.33,right triangle
8.25,8.42,6.64,acute triangle
8.88,9.21,9.61,acute triangle
8.87,7.6,8.24,acute triangle
9.93,6.53,3.43,obtuse triangle
6.6,7.42,7.78,acute triangle
6.3,6.53,9.07,right triangle
3.29,7.24,6.45,right triangle
8.06,8.29,8.66,acute triangle
8.82,8.45,7.18,acute triangle
6.33,4.43,4.53,right triangle
6.82,3.4,5.91,right triangle
9.35,8.1,8.97,acute triangle
4.24,5.92,7.28,right triangle
3.75,4.35,8.2,obtuse triangle
7.67,8.83,9.26,acute triangle
6.8,8.15,7.72,acute triangle
9.72,9.72,8.29,acute triangle
7.5,9.08,5.11,right triangle
7.65,7.85,8.39,acute triangle
3.27,3.38,4.7,right triangle
9.57,3.49,4.28,obtuse triangle
3.47,9.58,8.93,right triangle
8.31,9.67,9.08,acute triangle
6.4,7.11,7.42,acute triangle
6.85,4.67,5.02,right triangle
8.4,7.61,7.27,acute triangle
8.19,4.6,3.76,obtuse triangle
6.47,4.4,7.83,right triangle
3.17,6.65,9.72,obtuse triangle
9.12,8.73,8.42,acute triangle
9.76,8.73,8.08,acute triangle
3.21,7.1,3.43,obtuse triangle
8.19,3.07,7.59,right triangle
7.42,8.97,9.5,acute triangle
5.26,9.93,4.49,obtuse triangle
3.89,4.94,3.03,right triangle
7.86,3.32,4.1,obtuse triangle
9.96,9.78,8.4,acute triangle
5.41,3.37,4.22,right triangle
5.62,5.14,9.98,obtuse triangle
5.01,8.05,9.48,right triangle
8.48,4.85,4.2,obtuse triangle
5.24,9.02,3.1,obtuse triangle
7,6.97,6.79,acute triangle
5.75,9.7,4.05,obtuse triangle
3.61,6.38,9.91,obtuse triangle
9.48,4.81,4.8,obtuse triangle
7.65,8.22,8.36,acute triangle
6.66,5.77,3.34,right triangle
4.97,8.79,3.13,obtuse triangle
9.49,9.27,8.07,acute triangle
7.94,8.67,8.61,acute triangle
8.86,9.5,9.16,acute triangle
7.89,8.04,7,acute triangle
5.67,4.23,9.58,obtuse triangle
6.47,6.79,9.38,right triangle
7.26,8.97,5.27,right triangle
9.6,8.64,8.35,acute triangle
7.52,8.7,7.94,acute triangle
7.36,3.11,7.99,right triangle
5.16,4.3,9.88,obtuse triangle
5.56,8.55,3.05,obtuse triangle
6.07,7.2,3.86,right triangle
9.21,5.2,4.19,obtuse triangle
3.63,8.09,8.87,right triangle
9.71,7.64,9.06,acute triangle
3.46,7.96,3.78,obtuse triangle
6.65,7.43,7.36,acute triangle
8.43,8.04,7.17,acute triangle
7.39,8.83,8.09,acute triangle
5.35,6.32,3.37,right triangle
5.26,3.88,9.02,obtuse triangle
7.96,8.05,8.59,acute triangle
4.9,8.29,3.73,obtuse triangle
7.5,5.04,5.55,right triangle
6.06,9.91,7.84,right triangle
9.52,8.19,4.85,right triangle
3.17,4.75,3.54,right triangle
3.39,4.21,9.09,obtuse triangle
4.17,7.17,8.29,right triangle
9.94,8.85,4.52,right triangle
6.56,6.38,6.91,acute triangle
7.52,9.89,6.42,right triangle
9.14,3.33,9.73,right triangle
4.78,7.36,5.6,right triangle
9.19,8.69,8.59,acute triangle
7.82,4.51,3.03,obtuse triangle
8.66,7.7,8.02,acute triangle
9.01,8.77,7.73,acute triangle
7.74,8.14,7.11,acute triangle
8.18,3.64,7.32,right triangle
5.84,5.63,5.7,acute triangle
9.59,6.21,3.89,obtuse triangle
7.93,9.48,5.19,right triangle
5.1,5.01,9.32,obtuse triangle
3.57,8.39,4.95,obtuse triangle
6.29,5.33,3.35,right triangle
3.96,5.15,6.49,right triangle
5.1,6.89,8.57,right triangle
9.81,5.64,8.03,right triangle
6.06,7.18,7.24,acute triangle
8.08,4.38,3.46,obtuse triangle
3.7,6.22,5,right triangle
7.31,7.44,7.9,acute triangle
7.86,8.15,9.24,acute triangle
8.75,3.18,3.82,obtuse triangle
6.71,3.32,3.03,obtuse triangle
8.54,7.18,7.98,acute triangle
6.05,7.07,7.01,acute triangle
7.93,9.01,4.27,right triangle
4.86,4.24,6.45,right triangle
9.14,8.21,8.31,acute triangle
7.23,6.49,7.45,acute triangle
8.01,8.62,7.15,acute triangle
9.86,8.7,9.05,acute triangle
3.05,8.71,5.29,obtuse triangle
8.93,7.15,5.35,right triangle
3.57,4.59,8.38,obtuse triangle
9.2,6.98,6,right triangle
4.51,9.44,4,obtuse triangle
9.26,6.19,3.68,obtuse triangle
9.89,3.18,5.48,obtuse triangle
6.56,7.21,6.8,acute triangle
3.19,8.26,8.86,right triangle
8.13,8.99,8.28,acute triangle
7.67,8.11,7.87,acute triangle
9.67,6.6,3.17,obtuse triangle
7.89,6.12,4.98,right triangle
4.46,4.27,8.65,obtuse triangle
4.24,3.57,9.85,obtuse triangle
3.74,9.82,5.87,obtuse triangle
4.55,5.18,6.89,right triangle
9.87,3.38,5.02,obtuse triangle
4.9,5.64,9.95,obtuse triangle
4.22,4.06,9.8,obtuse triangle
8.66,8.4,6.89,acute triangle
8.63,8.43,9.71,acute triangle
4.71,8.71,7.32,right triangle
5.21,3.63,3.73,right triangle
9.3,9.42,7.75,acute triangle
7.19,7.29,6.46,acute triangle
8.84,8.7,8.17,acute triangle
3.78,8.6,9.39,right triangle
5.51,3.58,4.19,right triangle
5.62,6.12,6.17,acute triangle
8.73,8.71,7.55,acute triangle
3.74,8.08,8.9,right triangle
7.84,6.72,7.95,acute triangle
3.19,9.73,6.97,obtuse triangle
8.34,9.15,8.68,acute triangle
8.86,8.14,8.95,acute triangle
4.09,8.92,5.39,obtuse triangle
7.78,6.04,4.9,right triangle
7.28,6.65,9.86,right triangle
5.69,5.24,7.74,right triangle
8.55,4.73,4.44,obtuse triangle
3.59,9.38,6.04,obtuse triangle
7,3.86,8,right triangle
7.95,9.51,8.9,acute triangle
9.37,9.95,8.53,acute triangle
9.36,9.23,9.89,acute triangle
4.07,8.62,5.13,obtuse triangle
8.23,9.15,9.86,acute triangle
6.38,5.29,3.57,right triangle
7.95,3.19,4.89,obtuse triangle
9.22,3.53,5.3,obtuse triangle
8.63,8.09,7.17,acute triangle
8.24,9.09,9.03,acute triangle
6.59,4.73,4.59,right triangle
6.13,3.47,7.04,right triangle
4.34,3.25,9.56,obtuse triangle
6.44,7.51,7.61,acute triangle
3.87,9.42,5.39,obtuse triangle
9.92,5.12,4.47,obtuse triangle
6.44,6.2,5.85,acute triangle
5.91,9.78,3.68,obtuse triangle
6.32,5.07,3.77,right triangle
9,9.84,8.08,acute triangle
9.57,7.71,9.66,acute triangle
7.12,6.81,7.61,acute triangle
8.47,5.3,6.6,right triangle
5.74,4.27,7.16,right triangle
8.81,5.12,3.37,obtuse triangle
8.09,8.84,8.77,acute triangle
9.64,5.15,3.51,obtuse triangle
4.13,7.21,8.31,right triangle
7.69,3.81,3.35,obtuse triangle
9.83,9.45,8.56,acute triangle
4.47,6.16,7.61,right triangle
6.86,9.9,3.42,obtuse triangle
5.48,3.94,3.8,right triangle
7.79,5.16,9.34,right triangle
3.19,4.78,3.56,right triangle
3.02,8.38,7.82,right triangle
8.89,4.57,10,right triangle
9.21,5.71,3.48,obtuse triangle
3,8.65,5.42,obtuse triangle
7.02,5.81,9.11,right triangle
3.7,4.34,8.02,obtuse triangle
3.89,9.01,3.11,obtuse triangle
4.75,8.84,4.04,obtuse triangle
9.91,3.61,6.65,obtuse triangle
6.79,9.15,9.36,acute triangle
5.83,9.47,4.13,obtuse triangle
4.6,7.73,6.21,right triangle
8.04,6.88,8.2,acute triangle
8.7,4.96,3.25,obtuse triangle
4.3,4.6,9.62,obtuse triangle
3.73,9.23,3.44,obtuse triangle
6.06,8.8,6.38,right triangle
4.19,5.4,3.4,right triangle
4.03,5.44,6.77,right triangle
3.67,3.25,8.44,obtuse triangle
7.71,9.18,9.07,acute triangle
9.57,7.99,9.37,acute triangle
8.79,3.87,3.61,obtuse triangle
7.29,5.3,5.01,right triangle
4.6,3.53,5.8,right triangle
6.45,3.32,7.26,right triangle
4.94,7.36,5.46,right triangle
5.36,7.56,5.33,right triangle
3.41,9.3,3.49,obtuse triangle
8.49,9.11,7.38,acute triangle
6.77,6.88,6.65,acute triangle
3.8,8.81,3.56,obtuse triangle
4.78,8.08,3.03,obtuse triangle
8.65,9.86,4.73,right triangle
3.55,8.67,9.37,right triangle
9.54,5.63,3.17,obtuse triangle
9.81,9.94,7,acute triangle
9.93,4.77,3.36,obtuse triangle
9.27,9.24,7.1,acute triangle
9.36,9.72,9.87,acute triangle
7.54,6.5,3.81,right triangle
6.81,7.07,7.43,acute triangle
6.12,8.71,6.2,right triangle
6.7,6.02,9.01,right triangle
9.83,3.05,3.45,obtuse triangle
6.93,9.01,5.75,right triangle
7.09,9.13,5.76,right triangle
6.23,6.6,9.08,right triangle
4.55,9.91,5.68,obtuse triangle
5.2,6.65,4.14,right triangle
8.79,3.42,3.18,obtuse triangle
7.78,4.28,6.5,right triangle
3.27,3.75,7.86,obtuse triangle
8.03,8.46,7.43,acute triangle
6.18,9.71,3.29,obtuse triangle
9.84,4.52,4.09,obtuse triangle
7.81,4,3.44,obtuse triangle
5.6,9.22,3.52,obtuse triangle
3.2,4.62,9.44,obtuse triangle
4.99,9.37,3.25,obtuse triangle
9.19,4.09,4.57,obtuse triangle
7.18,4.29,8.37,right triangle
8.63,8.96,7.32,acute triangle
4.69,6.02,3.78,right triangle
3.01,4.86,5.71,right triangle
4.42,9.34,8.23,right triangle
9.24,9.51,6.91,acute triangle
7.86,6.94,3.68,right triangle
6.11,8.91,6.48,right triangle
